x1lsn35,ylsn35
0.189130222,1.108321458
0.482896761,0.532613209
2.832164171,18.77960322
2.117877688,8.241651896
1.736661174,8.043170874
2.119736986,8.186100289
2.102330116,9.444234468
0.850398563,1.531848869
2.891739719,19.59841915
2.034365998,9.03160364
2.417787608,10.97913877
2.359687546,11.19031141
1.865657315,6.28266721
2.846527925,16.88479293
0.05318029,1.333213639
1.803169306,4.859420319
2.429859881,12.24872979
1.977327358,8.016088511
1.434841199,4.322574428
0.330535616,2.586653769
1.620123151,6.538575431
2.292506039,11.19678041
1.877397035,7.939595033
1.949172237,5.751624729
1.204987734,4.548756196
0.458560753,1.783856966
2.99805033,20.4679008
0.716731464,0.260069665
1.396450936,3.313469259
1.296626712,2.469301584
1.068123128,3.183460525
1.734315103,5.211442812
2.408964855,12.71949382
1.352634065,4.918969366
0.171204728,0.227170326
2.305549686,11.99203817
2.426562866,11.36317578
1.921928747,7.065645453
0.219582191,1.77880063
0.019370359,1.750377023
0.028852055,2.528256858
2.681551067,15.42820787
2.4979561,12.31556884
0.841759144,4.329792644
2.929681022,20.67609588
2.635802967,14.90113062
1.95489739,7.634608108
2.634996137,14.82318441
2.17532679,7.757666189
2.344391691,9.90610264
1.208427103,3.789443491
1.014533173,2.262266713
1.125918566,3.046971867
0.821079786,2.720128817
2.978352749,18.68101712
2.864430052,18.75688679
0.739145264,2.04697338
2.445450118,10.40619899
0.71548852,3.013010262
2.417249299,10.9939593
2.443419595,12.12604407
2.058514665,5.754162356
1.643983022,4.657664128
0.275386621,0.745685361
2.42240855,10.54382156
0.371768952,2.047880238
1.942126133,7.737887207
1.740820045,5.78369422
1.292729755,2.294848506
0.056593272,0.620966345
0.544125163,0.793770391
0.773520791,2.279653262
1.998361277,7.663071591
1.518410423,3.011670673
2.41348262,10.54761214
1.133168121,1.990395647
2.334115861,10.92117891
2.88578981,16.62197319
2.713556511,18.36555731
1.817530154,7.290444532
1.342327182,4.054540443
1.659342054,5.230917385
1.385403432,4.625980538
0.74775199,0.389560922
0.487223215,1.913893742
0.957955431,1.639613577
2.055946824,8.967730499
1.942052325,4.820260725
0.517946422,0.934893828
0.829162122,2.8030099
2.263666301,10.00419542
0.409675742,1.259441234
0.803044207,3.820046386
2.919508384,19.11194349
1.186444372,3.640969818
2.993948647,22.48794568
1.555991025,3.491688518
0.604525546,2.445818725
1.993180309,7.115124302
2.056671507,6.629563379
